//Замена без категории для сопоставления ед-мн числа
REP1:Вилки:Вилка
REP2:Розетки:Розетка
REP3:Держатели:Держатель
REP4:Светодиоды:Светодиод
REP5:Дроссели:Дроссель
REP6:Модули питания:Модуль питания
REP7:Резонаторы кварцевые:Резонатор кварцевый
REP8:Индуктивности:Индуктивность
REP9:Позисторы:Позистор
REP10:Гермовводы:Гермоввод
//Категории
A:Устройства:Устройство
B:Преобразователи:Преобразователь
BA:Громкоговорители:Громкоговоритель
BB:Магнитострикционные элементы:Магнитострикционный элемент
BD:Детекторы ионизирующих излучений:Детектор ионизирующих излучений
BE:Сельсин-приемники:Сельсин-приемник
BF:Телефоны:Телефон
BC:Сельсин-датчики:Сельсин-датчик
BK:Тепловые датчики:Тепловой датчик
BL:Фотоэлементы:Фотоэлемент
BM:Микрофоны:Микрофон
BP:Датчики давления:Датчик давления
BQ:Пьезоэлементы:Пьезоэлемент
BR:Датчики частоты вращения:Датчик частоты вращения
BS:Звукосниматели:Звукосниматель
BV:Датчики скорости:Датчик скорости
C:Конденсаторы:Конденсатор
D:Схемы интегральные:Схема интегральная
DA:Микросхемы:Микросхема
DAD:Диодные матрицы:Диодная матрица
DD:Микросхемы:Микросхема
DS:Устройства хранения информации:Устройство хранения информации
DT:Устройства задержки:Устройство задержки
DVD:Диодные сборки:Диодная сборка
E:Элементы разные:Элемент разный
EK:Нагревательные элементы:Нагревательный элемент
EL:Лампы осветительные:Лампа осветительная
ET:Пиропатроны:Пиропатрон
F:Разрядники:Разрядник
FA:Дискретные элементы защиты по току мгновенного действия:Дискретный элемент защиты по току мгновенного действия
FP:Дискретные элементы защиты по току инерционного действия:Дискретный элемент защиты по току инерционного действия
FU:Предохранители плавкие:Предохранитель плавкий
FV:Дискретные элементы защиты по напряжению:Дискретный элемент защиты по напряжению
G:Генераторы, источники питания:Генератор, источник питания
GB:Батареи:Батарея
H:Устройства индикационные:Устройство индикационное
HA:Приборы звуковой сигнализации:Прибор звуковой сигнализации
HG:Индикаторы символьные:Индикатор символьный
HL:Приборы световой сигнализации:Прибор световой сигнализации
K:Реле:Реле
KA:Реле токовые:Реле токовое
KH:Реле указательные:Реле указательное
KK:Реле электротепловые:Реле электротепловое
KM:Контакторы:Контактор
KT:Реле времени:Реле времени
KV:Реле напряжения:Реле напряжения
L:Катушки индуктивности:Катушка индуктивности
LL:Дроссели люминесцентного освещения:Дроссель люминесцентного освещения
M:Двигатели:Двигатель
P:Приборы:Прибор
PA:Амперметры:Амперметр
PC:Счетчики импульсов:Счетчик импульсов
PF:Частотомеры:Частотомер
PI:Счетчики активной энергии:Счетчик активной энергии
PK:Счетчики реактивной энергии:Счетчик реактивной энергии
PR:Омметры:Омметр
PS:Регистрирующие приборы:Регистрирующий прибор
PT:Часы:Часы
PV:Вольтметры:Вольтметр
PW:Ваттметры:Ваттметр
Q:Выключатели:Выключатель
QF:Выключатели автоматические:Выключатель автоматический
QK:Короткозамыкатели:Короткозамыкатель
QS:Разъединители:Разъединитель
R:Резисторы:Резистор
RK:Терморезисторы:Терморезистор
RP:Потенциометры:Потенциометр
RS:Шунты измерительные:Шунт измерительный
RU:Варисторы:Варистор
S:Устройства коммутационные:Устройство коммутационное
SA:Выключатели или переключатели:Выключатель или переключатель
SB:Выключатели кнопочные:Выключатель кнопочный
T:Трансформаторы:Трансформатор
TA:Трансформаторы тока:Трансформатор тока
TS:Электромагнитные стабилизаторы:Электромагнитный стабилизатор
TV:Трансформаторы напряжения:Трансформатор напряжения
U:Модуляторы:Модулятор
UB:Модуляторы:Модулятор
UR:Демодуляторы:Демодулятор
UI:Дискриминаторы:Дискриминатор
UZ:Преобразователи частотные:Преобразователь частотный
V:Приборы электровакуумные и полупроводниковые:Прибор электровакуумный и полупроводниковый
VD:Диоды:Диод
VL:Приборы электровакуумные:Прибор электровакуумный
VT:Транзисторы:Транзистор
VS:Тиристоры:Тиристор
W:Линии и элементы СВЧ:Линия и элемент СВЧ
WE:Ответвители:Ответвитель
WK:Короткозамыкатели:Короткозамыкатель
WS:Вентили:Вентиль
WT:Фазовращатели:Фазовращатель
WU:Аттенюаторы:Аттенюатор
WA:Антенны:Антенна
X:Соединения контактные:Соединение контактное
XA:Токосъемники, контакты скользящие:Токосъемник, контакт скользящий
XP:Штыри:Штырь
XS:Гнезда:Гнездо
XT:Соединения разборные:Соединение разборное
XW:Соединители высокочастотные:Соединитель высокочастотный
Y:Устройства механические с электромагнитным приводом:Устройство механическое с электромагнитным приводом
YA:Электромагниты:Электромагнит
YB:Тормоза с электромагнитным приводом:Тормоз с электромагнитным приводом
YC:Муфты с электромагнитным приводом:Муфта с электромагнитным приводом
YH:Электромагнитные патроны или плиты:Электромагнитный патрон или плита
Z:Устройства оконечные:Устройство оконечное
ZL:Ограничители:Ограничитель
ZQ:Фильтры кварцевые:Фильтр кварцевый
